match_date,teams,venue,winner,runs_total,runs_batsman,runs_extras,team1_runs,team2_runs
2024-01-01,Auckland|Otago,"Molyneux Park, Alexandra",Otago,305,289,16,152,153
2024-01-01,Otago|Auckland,"Molyneux Park, Alexandra",Otago,255,247,8,127,128
2024-01-01,Sydney Thunder|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,301,287,14,150,151
2024-01-02,Australia|India,"Wankhede Stadium, Mumbai",Australia,486,444,42,243,243
2024-01-02,Melbourne Renegades|Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,195,187,8,97,98
2024-01-02,Wellington|Northern Districts,"Bay Oval, Mount Maunganui",Northern Districts,221,209,12,110,111
2024-01-02,Wellington|Northern Districts,"Bay Oval, Mount Maunganui",Wellington,331,320,11,165,166
2024-01-03,Canterbury|Otago,"Molyneux Park, Alexandra",Canterbury,214,204,10,107,107
2024-01-03,Otago|Canterbury,"Molyneux Park, Alexandra",Canterbury,346,325,21,173,173
2024-01-03,Pakistan|Australia,Sydney Cricket Ground,Australia,857,831,26,428,429
2024-01-03,Perth Scorchers|Adelaide Strikers,Perth Stadium,Perth Scorchers,380,364,16,190,190
2024-01-03,South Africa|India,"Newlands, Cape Town",India,464,419,45,232,232
2024-01-03,Sydney Sixers|Brisbane Heat,"International Sports Stadium, Coffs Harbour",Brisbane Heat,245,238,7,122,123
2024-01-04,Auckland|Wellington,"Eden Park Outer Oval, Auckland",Auckland,331,294,37,165,166
2024-01-04,Auckland|Wellington,"Eden Park Outer Oval, Auckland",Wellington,190,173,17,95,95
2024-01-04,Melbourne Renegades|Hobart Hurricanes,"Docklands Stadium, Melbourne",Hobart Hurricanes,295,287,8,147,148
2024-01-05,Australia|India,"Dr DY Patil Sports Academy, Mumbai",India,286,254,32,143,143
2024-01-05,Perth Scorchers|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,307,296,11,153,154
2024-01-06,Melbourne Stars|Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,316,299,17,158,158
2024-01-06,Northern Districts|Otago,"Seddon Park, Hamilton",Otago,448,433,15,224,224
2024-01-07,Brisbane Heat|Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,248,230,18,124,124
2024-01-07,Canterbury|Auckland,"Hagley Oval, Christchurch",Auckland,586,539,47,293,293
2024-01-07,India|Australia,"Dr DY Patil Sports Academy, Mumbai",Australia,263,240,23,131,132
2024-01-08,Central Districts|Wellington,"McLean Park, Napier",Wellington,581,548,33,290,291
2024-01-08,Sydney Thunder|Perth Scorchers,Sydney Showground Stadium,Perth Scorchers,277,254,23,138,139
2024-01-08,Zimbabwe|Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,419,394,25,209,210
2024-01-09,Canterbury|Northern Districts,"Hagley Oval, Christchurch",Canterbury,371,352,19,185,186
2024-01-09,Hobart Hurricanes|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,333,319,14,166,167
2024-01-09,India|Australia,"Dr DY Patil Sports Academy, Mumbai",Australia,296,276,20,148,148
2024-01-10,Brisbane Heat|Perth Scorchers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,359,332,27,179,180
2024-01-10,Central Districts|Otago,"McLean Park, Napier",Central Districts,322,311,11,161,161
2024-01-10,Central Districts|Otago,"McLean Park, Napier",Otago,231,219,12,115,116
2024-01-11,Hobart Hurricanes|Adelaide Strikers,"Bellerive Oval, Hobart",Adelaide Strikers,336,323,13,168,168
2024-01-11,MI Cape Town|Durban's Super Giants,"Kingsmead, Durban",Durban's Super Giants,384,363,21,192,192
2024-01-11,Wellington|Canterbury,"Hagley Oval, Christchurch",Wellington,608,580,28,304,304
2024-01-11,Zimbabwe|Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,193,186,7,96,97
2024-01-12,New Zealand|Pakistan,"Eden Park, Auckland",New Zealand,406,387,19,203,203
2024-01-12,Northern Districts|Auckland,"Bay Oval, Mount Maunganui",Auckland,248,232,16,124,124
2024-01-12,Northern Districts|Auckland,"Bay Oval, Mount Maunganui",Northern Districts,247,230,17,123,124
2024-01-12,Paarl Royals|Pretoria Capitals,"Boland Park, Paarl",Paarl Royals,293,280,13,146,147
2024-01-12,Sydney Sixers|Sydney Thunder,Sydney Cricket Ground,Sydney Sixers,283,274,9,141,142
2024-01-13,Durban's Super Giants|Sunrisers Eastern Cape,"St George's Park, Gqeberha",Durban's Super Giants,415,396,19,207,208
2024-01-13,MI Cape Town|Joburg Super Kings,"The Wanderers Stadium, Johannesburg",MI Cape Town,388,370,18,194,194
2024-01-13,Melbourne Stars|Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Renegades,276,271,5,138,138
2024-01-13,Perth Scorchers|Brisbane Heat,Perth Stadium,Perth Scorchers,286,267,19,143,143
2024-01-13,Wellington|Central Districts,"Basin Reserve, Wellington",Central Districts,295,276,19,147,148
2024-01-14,Auckland|Otago,"Eden Park Outer Oval, Auckland",Auckland,283,257,26,141,142
2024-01-14,New Zealand|Pakistan,"Seddon Park, Hamilton",New Zealand,367,355,12,183,184
2024-01-14,Otago|Auckland,"Eden Park Outer Oval, Auckland",Auckland,277,266,11,138,139
2024-01-14,Paarl Royals|Pretoria Capitals,"SuperSport Park, Centurion",Paarl Royals,410,391,19,205,205
2024-01-14,Sydney Thunder|Adelaide Strikers,"Manuka Oval, Canberra",Adelaide Strikers,281,274,7,140,141
2024-01-14,Zimbabwe|Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,287,279,8,143,144
2024-01-15,Durban's Super Giants|Joburg Super Kings,"Kingsmead, Durban",Durban's Super Giants,253,242,11,126,127
2024-01-15,Hobart Hurricanes|Melbourne Stars,Melbourne Cricket Ground,Hobart Hurricanes,367,352,15,183,184
2024-01-15,Northern Districts|Wellington,"Basin Reserve, Wellington",Wellington,242,235,7,121,121
2024-01-15,Wellington|Northern Districts,"Basin Reserve, Wellington",Northern Districts,207,198,9,103,104
2024-01-16,Central Districts|Auckland,"Eden Park Outer Oval, Auckland",Central Districts,605,579,26,302,303
2024-01-16,Perth Scorchers|Sydney Sixers,Perth Stadium,Sydney Sixers,398,385,13,199,199
