match_date,teams,venue,winner,runs_total,runs_batsman,runs_extras,team1_runs,team2_runs
2022-01-01,Brisbane Heat|Hobart Hurricanes,"Bellerive Oval, Hobart",Brisbane Heat,286,279,7,143,143
2022-01-01,New Zealand|Bangladesh,"Bay Oval, Mount Maunganui",Bangladesh,997,950,47,498,499
2022-01-02,Perth Scorchers|Melbourne Stars,"Junction Oval, Melbourne",Perth Scorchers,310,290,20,155,155
2022-01-02,Sydney Thunder|Adelaide Strikers,Sydney Showground Stadium,Sydney Thunder,316,298,18,158,158
2022-01-03,India|South Africa,"The Wanderers Stadium, Johannesburg",South Africa,940,850,90,470,470
2022-01-03,Melbourne Stars|Melbourne Renegades,Melbourne Cricket Ground,Melbourne Renegades,255,245,10,127,128
2022-01-04,Perth Scorchers|Sydney Sixers,Carrara Oval,Perth Scorchers,276,260,16,138,138
2022-01-05,Hobart Hurricanes|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,255,241,14,127,128
2022-01-06,Brisbane Heat|Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,257,245,12,128,129
2022-01-06,Otago|Wellington,"Basin Reserve, Wellington",Wellington,276,262,14,138,138
2022-01-06,Perth Scorchers|Sydney Thunder,Carrara Oval,Sydney Thunder,270,255,15,135,135
2022-01-06,Wellington|Otago,"Basin Reserve, Wellington",Wellington,183,173,10,91,92
2022-01-07,Auckland|Canterbury,"Eden Park, Auckland",Auckland,269,247,22,134,135
2022-01-07,Auckland|Canterbury,"Eden Park, Auckland",Canterbury,339,326,13,169,170
2022-01-08,Brisbane Heat|Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,289,274,15,144,145
2022-01-08,Central Districts|Wellington,"Pukekura Park, New Plymouth",Wellington,705,648,57,352,353
2022-01-08,Sydney Thunder|Melbourne Renegades,"Docklands Stadium, Melbourne",Sydney Thunder,289,283,6,144,145
2022-01-08,West Indies|Ireland,"Sabina Park, Kingston, Jamaica",West Indies,514,485,29,257,257
2022-01-09,New Zealand|Bangladesh,"Hagley Oval, Christchurch",New Zealand,925,898,27,462,463
2022-01-09,Sydney Sixers|Perth Scorchers,"International Sports Stadium, Coffs Harbour",Perth Scorchers,303,298,5,151,152
2022-01-10,Adelaide Strikers|Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,279,265,14,139,140
2022-01-10,Hobart Hurricanes|Sydney Thunder,Melbourne Cricket Ground,Sydney Thunder,279,261,18,139,140
2022-01-11,India|South Africa,"Newlands, Cape Town",South Africa,843,773,70,421,422
2022-01-11,Perth Scorchers|Melbourne Stars,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,345,325,20,172,173
2022-01-11,Sydney Sixers|Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",Sydney Sixers,255,248,7,127,128
2022-01-12,Adelaide Strikers|Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Adelaide Strikers,251,226,25,125,126
2022-01-13,Hobart Hurricanes|Sydney Thunder,"Docklands Stadium, Melbourne",Hobart Hurricanes,345,327,18,172,173
2022-01-13,Melbourne Renegades|Melbourne Stars,"Docklands Stadium, Melbourne",Melbourne Stars,245,219,26,122,123
2022-01-13,West Indies|Ireland,"Sabina Park, Kingston, Jamaica",Ireland,397,353,44,198,199
2022-01-14,Australia|England,"Bellerive Oval, Hobart",Australia,770,731,39,385,385
2022-01-14,Northern Districts|Central Districts,"Bay Oval, Mount Maunganui",Central Districts,223,195,28,111,112
2022-01-14,Northern Districts|Central Districts,"Bay Oval, Mount Maunganui",Northern Districts,333,311,22,166,167
2022-01-14,Perth Scorchers|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,257,245,12,128,129
2022-01-15,Adelaide Strikers|Melbourne Stars,Adelaide Oval,Adelaide Strikers,287,277,10,143,144
2022-01-15,Auckland|Otago,"Eden Park, Auckland",Otago,213,203,10,106,107
2022-01-15,Otago|Auckland,"Eden Park, Auckland",Auckland,263,254,9,131,132
2022-01-15,Sydney Sixers|Sydney Thunder,Sydney Cricket Ground,Sydney Sixers,334,320,14,167,167
2022-01-16,Brisbane Heat|Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,299,283,16,149,150
2022-01-16,Northern Districts|Wellington,"Cobham Oval (New), Whangarei",Wellington,97,91,6,48,49
2022-01-16,Wellington|Northern Districts,"Cobham Oval (New), Whangarei",Northern Districts,209,196,13,104,105
2022-01-16,West Indies|Ireland,"Sabina Park, Kingston, Jamaica",Ireland,426,387,39,213,213
2022-01-16,Zimbabwe|Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,596,564,32,298,298
2022-01-17,Brisbane Heat|Perth Scorchers,"Docklands Stadium, Melbourne",Perth Scorchers,311,301,10,155,156
2022-01-17,Sydney Sixers|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,326,316,10,163,163
2022-01-18,Auckland|Canterbury,"Hagley Oval, Christchurch",Auckland,254,220,34,127,127
2022-01-18,Canterbury|Auckland,"Hagley Oval, Christchurch",Canterbury,290,281,9,145,145
2022-01-18,Hobart Hurricanes|Melbourne Renegades,"Docklands Stadium, Melbourne",Hobart Hurricanes,358,344,14,179,179
2022-01-18,Malaysia|Bangladesh,"Kinrara Academy Oval, Kuala Lumpur",Bangladesh,102,98,4,51,51
2022-01-18,Sri Lanka|Scotland,"Kinrara Academy Oval, Kuala Lumpur",Sri Lanka,255,235,20,127,128
2022-01-18,Zimbabwe|Sri Lanka,Pallekele International Cricket Stadium,Zimbabwe,582,555,27,291,291
2022-01-19,Bangladesh|Kenya,"Kinrara Academy Oval, Kuala Lumpur",Bangladesh,170,153,17,85,85
2022-01-19,Melbourne Stars|Hobart Hurricanes,Melbourne Cricket Ground,Melbourne Stars,440,428,12,220,220
2022-01-19,Scotland|Malaysia,"Kinrara Academy Oval, Kuala Lumpur",Scotland,265,244,21,132,133
2022-01-19,South Africa|India,"Boland Park, Paarl",South Africa,561,530,31,280,281
2022-01-19,Sydney Sixers|Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Sixers,329,316,13,164,165
2022-01-19,Sydney Thunder|Melbourne Renegades,Melbourne Cricket Ground,Sydney Thunder,339,320,19,169,170
2022-01-20,Auckland|Wellington,"Eden Park Outer Oval, Auckland",Wellington,422,398,24,211,211
2022-01-20,England|Australia,Adelaide Oval,Australia,339,318,21,169,170
2022-01-20,Kenya|Sri Lanka,"Kinrara Academy Oval, Kuala Lumpur",Sri Lanka,176,156,20,88,88
2022-01-21,Adelaide Strikers|Hobart Hurricanes,Melbourne Cricket Ground,Adelaide Strikers,354,346,8,177,177
2022-01-21,Canterbury|Northern Districts,"Hagley Oval, Christchurch",Canterbury,320,297,23,160,160
2022-01-21,Canterbury|Northern Districts,"Hagley Oval, Christchurch",Northern Districts,347,336,11,173,174
2022-01-21,Chattogram Challengers|Fortune Barishal,"Shere Bangla National Stadium, Mirpur",Fortune Barishal,251,235,16,125,126
2022-01-21,India|South Africa,"Boland Park, Paarl",South Africa,575,545,30,287,288
2022-01-21,Minister Group Dhaka|Khulna Tigers,"Shere Bangla National Stadium, Mirpur",Khulna Tigers,369,349,20,184,185
2022-01-21,Sri Lanka|Zimbabwe,Pallekele International Cricket Stadium,Sri Lanka,324,309,15,162,162
2022-01-22,Central Districts|Auckland,"Eden Park, Auckland",Auckland,271,253,18,135,136
2022-01-22,Central Districts|Auckland,"Eden Park, Auckland",Central Districts,342,329,13,171,171
2022-01-22,Chattogram Challengers|Minister Group Dhaka,"Shere Bangla National Stadium, Mirpur",Chattogram Challengers,292,283,9,146,146
2022-01-22,England|West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,207,199,8,103,104
2022-01-22,Perth Scorchers|Sydney Sixers,"Docklands Stadium, Melbourne",Perth Scorchers,330,312,18,165,165
2022-01-22,Scotland|Kenya,"Kinrara Academy Oval, Kuala Lumpur",Scotland,124,115,9,62,62
2022-01-22,Sri Lanka|Malaysia,"Kinrara Academy Oval, Kuala Lumpur",Sri Lanka,257,237,20,128,129
2022-01-22,Sylhet Sunrisers|Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Comilla Victorians,193,171,22,96,97
2022-01-23,Adelaide Strikers|Sydney Thunder,Melbourne Cricket Ground,Adelaide Strikers,362,347,15,181,181
2022-01-23,Canterbury|Otago,"University Oval, Dunedin",Otago,226,214,12,113,113
2022-01-23,England|West Indies,"Kensington Oval, Bridgetown, Barbados",England,341,321,20,170,171
2022-01-23,Kenya|Malaysia,"Kinrara Academy Oval, Kuala Lumpur",Malaysia,177,163,14,88,89
2022-01-23,Otago|Canterbury,"University Oval, Dunedin",Canterbury,371,364,7,185,186
2022-01-23,Scotland|Bangladesh,"Kinrara Academy Oval, Kuala Lumpur",Bangladesh,155,145,10,77,78
2022-01-23,South Africa|India,"Newlands, Cape Town",South Africa,570,541,29,285,285
