match_date,teams,venue,winner,runs_total,runs_batsman,runs_extras,team1_runs,team2_runs
2021-01-01,Melbourne Renegades|Sydney Thunder,Carrara Oval,Sydney Thunder,283,272,11,141,142
2021-01-01,Northern Districts|Wellington,Bay Oval,Wellington,300,280,20,150,150
2021-01-01,Wellington|Northern Districts,Bay Oval,Northern Districts,279,264,15,139,140
2021-01-02,Hobart Hurricanes|Melbourne Stars,Bellerive Oval,Hobart Hurricanes,307,292,15,153,154
2021-01-02,Northern Districts|Otago,Bay Oval,Otago,509,454,55,254,255
2021-01-02,Sydney Sixers|Brisbane Heat,Brisbane Cricket Ground,Brisbane Heat,336,310,26,168,168
2021-01-03,Adelaide Strikers|Sydney Sixers,Carrara Oval,Sydney Sixers,301,288,13,150,151
2021-01-03,Auckland|Canterbury,Eden Park Outer Oval,Canterbury,107,102,5,53,54
2021-01-03,Pakistan|New Zealand,Hagley Oval,New Zealand,1142,1054,88,571,571
2021-01-03,Perth Scorchers|Melbourne Renegades,Perth Stadium,Perth Scorchers,274,260,14,137,137
2021-01-03,Sri Lanka|South Africa,The Wanderers Stadium,South Africa,737,693,44,368,369
2021-01-04,Central Districts|Northern Districts,Seddon Park,Northern Districts,379,356,23,189,190
2021-01-04,Melbourne Stars|Hobart Hurricanes,Bellerive Oval,Melbourne Stars,356,347,9,178,178
2021-01-04,Sydney Thunder|Brisbane Heat,Brisbane Cricket Ground,Brisbane Heat,349,337,12,174,175
2021-01-05,Adelaide Strikers|Melbourne Renegades,Adelaide Oval,Adelaide Strikers,282,267,15,141,141
2021-01-06,Perth Scorchers|Sydney Sixers,Perth Stadium,Perth Scorchers,280,274,6,140,140
2021-01-07,Brisbane Heat|Melbourne Stars,Carrara Oval,Brisbane Heat,226,219,7,113,113
2021-01-07,Sydney Thunder|Hobart Hurricanes,Perth Stadium,Sydney Thunder,295,283,12,147,148
2021-01-08,Adelaide Strikers|Melbourne Renegades,Adelaide Oval,Melbourne Renegades,355,329,26,177,178
2021-01-08,Central Districts|Otago,University Oval,Central Districts,393,376,17,196,197
2021-01-08,Central Districts|Otago,University Oval,Otago,207,196,11,103,104
2021-01-08,Ireland|United Arab Emirates,Sheikh Zayed Stadium,United Arab Emirates,539,521,18,269,270
2021-01-09,Northern Districts|Wellington,Basin Reserve,Wellington,202,185,17,101,101
2021-01-09,Perth Scorchers|Sydney Thunder,Perth Stadium,Perth Scorchers,353,334,19,176,177
2021-01-09,Wellington|Northern Districts,Basin Reserve,Wellington,290,271,19,145,145
2021-01-10,Assam|Hyderabad (India),Eden Gardens,Assam,316,302,14,158,158
2021-01-10,Baroda|Uttarakhand,Reliance Cricket Stadium,Baroda,331,309,22,165,166
2021-01-10,Brisbane Heat|Sydney Sixers,Carrara Oval,Sydney Sixers,300,288,12,150,150
2021-01-10,Central Districts|Canterbury,Hagley Oval,Canterbury,201,193,8,100,101
2021-01-10,Central Districts|Canterbury,Hagley Oval,Central Districts,354,338,16,177,177
2021-01-10,Gujarat|Maharashtra,Motibaug Cricket Ground,Gujarat,285,281,4,142,143
2021-01-10,Himachal|Chhattisgarh,F B Colony Ground,Himachal,314,295,19,157,157
2021-01-10,Karnataka|Jammu & Kashmir,Alur Cricket Stadium,Karnataka,257,249,8,128,129
2021-01-10,Odisha|Bengal,Jadavpur University Campus,Bengal,227,219,8,113,114
2021-01-10,Punjab|Uttar Pradesh,Alur Cricket Stadium II,Punjab,257,246,11,128,129
2021-01-10,Tamil Nadu|Jharkhand,Eden Gardens,Tamil Nadu,312,300,12,156,156
2021-01-10,Tripura|Railways,Alur Cricket Stadium III,Railways,343,324,19,171,172
2021-01-11,Andhra|Haryana,Sharad Pawar Cricket Academy BKC,Haryana,215,201,14,107,108
2021-01-11,Auckland|Canterbury,Hagley Oval,Auckland,256,234,22,128,128
2021-01-11,Bihar|Arunachal Pradesh,T I Murugappa Ground,Bihar,226,215,11,113,113
2021-01-11,Canterbury|Auckland,Hagley Oval,Canterbury,302,294,8,151,151
2021-01-11,Delhi|Mumbai,Wankhede Stadium,Delhi,336,322,14,168,168
2021-01-11,Madhya Pradesh|Goa,Holkar Stadium,Madhya Pradesh,422,402,20,211,211
2021-01-11,Meghalaya|Manipur,SSN College Ground,Manipur,128,120,8,64,64
2021-01-11,Melbourne Stars|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,299,286,13,149,150
2021-01-11,Mizoram|Sikkim,Sri Ramachandra Medical College,Sikkim,97,95,2,48,49
2021-01-11,Puducherry|Kerala,Wankhede Stadium,Kerala,277,260,17,138,139
2021-01-11,Services|Saurashtra,Holkar Stadium,Saurashtra,329,313,16,164,165
2021-01-11,Vidarbha|Rajasthan, Emerald Heights International School Ground,Rajasthan,210,192,18,105,105
2021-01-12,Assam|Tamil Nadu,Eden Gardens,Tamil Nadu,254,238,16,127,127
2021-01-12,Chhattisgarh|Maharashtra,F B Colony Ground,Maharashtra,388,374,14,194,194
2021-01-12,Gujarat|Uttarakhand,Motibaug Cricket Ground,Gujarat,271,264,7,135,136
2021-01-12,Himachal|Baroda,Reliance Cricket Stadium,Baroda,221,199,22,110,111
2021-01-12,Hobart Hurricanes|Perth Scorchers,Perth Stadium,Perth Scorchers,279,264,15,139,140
2021-01-12,Karnataka|Punjab,Alur Cricket Stadium,Punjab,252,247,5,126,126
2021-01-12,Tripura|Jammu & Kashmir,Alur Cricket Stadium II,Jammu & Kashmir,187,166,21,93,94
2021-01-12,Uttar Pradesh|Railways,Alur Cricket Stadium III,Railways,270,260,10,135,135
2021-01-13,Andhra|Delhi,Wankhede Stadium,Delhi,252,240,12,126,126
2021-01-13,Arunachal Pradesh|Nagaland,Sri Ramachandra Medical College,Nagaland,294,278,16,147,147
2021-01-13,Chandigarh|Manipur,T I Murugappa Ground,Chandigarh,244,239,5,122,122
2021-01-13,Meghalaya|Mizoram,IC-Gurunanak College Ground,Meghalaya,330,308,22,165,165
2021-01-13,Puducherry|Haryana,Sharad Pawar Cricket Academy BKC,Haryana,297,286,11,148,149
2021-01-13,Rajasthan|Madhya Pradesh,Holkar Stadium,Rajasthan,286,280,6,143,143
2021-01-13,Saurashtra|Vidarbha,Holkar Stadium,Saurashtra,387,365,22,193,194
2021-01-13,Services|Goa, Emerald Heights International School Ground,Goa,323,310,13,161,162
2021-01-13,Sikkim|Bihar,SSN College Ground,Bihar,221,209,12,110,111
2021-01-13,Sydney Thunder|Sydney Sixers,Manuka Oval,Sydney Sixers,298,279,19,149,149
2021-01-14,Chhattisgarh|Baroda,F B Colony Ground,Baroda,181,174,7,90,91
2021-01-14,Himachal|Gujarat,Motibaug Cricket Ground,Himachal,256,245,11,128,128
2021-01-14,Hyderabad (India)|Bengal,Eden Gardens,Bengal,318,309,9,159,159
2021-01-14,Jharkhand|Assam,Jadavpur University Campus,Jharkhand,415,393,22,207,208
2021-01-14,Karnataka|Tripura,Alur Cricket Stadium III,Karnataka,324,315,9,162,162
2021-01-14,Maharashtra|Uttarakhand,Reliance Cricket Stadium,Uttarakhand,286,269,17,143,143
2021-01-14,Melbourne Renegades|Brisbane Heat,Manuka Oval,Brisbane Heat,299,282,17,149,150
2021-01-14,Odisha|Tamil Nadu,Eden Gardens,Tamil Nadu,268,261,7,134,134
2021-01-14,Otago|Wellington,University Oval,Wellington,594,565,29,297,297
2021-01-14,Punjab|Railways,Alur Cricket Stadium II,Punjab,283,275,8,141,142
2021-01-14,Sri Lanka|England,Galle International Stadium,England,991,956,35,495,496
2021-01-15,Andhra|Puducherry,Wankhede Stadium,Puducherry,454,436,18,227,227
2021-01-15,Australia|India,Brisbane Cricket Ground,India,1328,1252,76,664,664
2021-01-15,Canterbury|Northern Districts,Hagley Oval,Canterbury,255,246,9,127,128
2021-01-15,Chandigarh|Mizoram,Sri Ramachandra Medical College,Chandigarh,311,301,10,155,156
2021-01-15,Delhi|Kerala,Wankhede Stadium,Kerala,430,419,11,215,215
2021-01-15,Madhya Pradesh|Vidarbha,Holkar Stadium,Madhya Pradesh,251,233,18,125,126
2021-01-15,Manipur|Arunachal Pradesh,T I Murugappa Ground,Manipur,253,245,8,126,127
2021-01-15,Meghalaya|Bihar,SSN College Ground,Bihar,181,178,3,90,91
2021-01-15,Melbourne Stars|Adelaide Strikers,Melbourne Cricket Ground,Melbourne Stars,247,234,13,123,124
2021-01-15,Mumbai|Haryana,Sharad Pawar Cricket Academy BKC,Haryana,287,272,15,143,144
2021-01-15,Nagaland|Sikkim,IC-Gurunanak College Ground,Nagaland,252,246,6,126,126
2021-01-15,Northern Districts|Canterbury,Hagley Oval,Canterbury,302,283,19,151,151
2021-01-15,Saurashtra|Goa,Holkar Stadium,Saurashtra,340,332,8,170,170
2021-01-16,Assam|Bengal,Eden Gardens,Assam,301,291,10,150,151
2021-01-16,Baroda|Maharashtra,Motibaug Cricket Ground,Baroda,256,241,15,128,128
2021-01-16,Canterbury|Wellington,Hagley Oval,Wellington,235,221,14,117,118
2021-01-16,Chhattisgarh|Gujarat,F B Colony Ground,Gujarat,127,117,10,63,64
2021-01-16,Hyderabad (India)|Tamil Nadu,Jadavpur University Campus,Tamil Nadu,307,295,12,153,154
2021-01-16,Jammu & Kashmir|Punjab,Alur Cricket Stadium III,Punjab,279,266,13,139,140
2021-01-16,Jharkhand|Odisha,Eden Gardens,Jharkhand,310,303,7,155,155
2021-01-16,Perth Scorchers|Sydney Sixers,Manuka Oval,Sydney Sixers,327,314,13,163,164
2021-01-16,Railways|Karnataka,Alur Cricket Stadium II,Karnataka,310,296,14,155,155
2021-01-16,Tripura|Uttar Pradesh,Alur Cricket Stadium,Uttar Pradesh,245,229,16,122,123
2021-01-16,Uttarakhand|Himachal,Reliance Cricket Stadium,Himachal,258,247,11,129,129
2021-01-16,Wellington|Canterbury,Hagley Oval,Canterbury,309,299,10,154,155
2021-01-17,Arunachal Pradesh|Meghalaya,T I Murugappa Ground,Meghalaya,172,158,14,86,86
