match_date,teams,venue,winner,runs_total,runs_batsman,runs_extras,team1_runs,team2_runs
2025-01-01,Brisbane Heat|Melbourne Stars,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Melbourne Stars,302,281,21,151,151
2025-01-01,Hobart Hurricanes|Sydney Sixers,"Bellerive Oval, Hobart",Hobart Hurricanes,272,257,15,136,136
2025-01-01,Wellington|Northern Districts,"Seddon Park, Hamilton",Northern Districts,326,298,28,163,163
2025-01-01,Wellington|Northern Districts,"Seddon Park, Hamilton",Wellington,296,286,10,148,148
2025-01-02,Dhaka Capital|Durbar Rajshahi,"Shere Bangla National Stadium, Mirpur",Durbar Rajshahi,353,328,25,176,177
2025-01-02,Fortune Barishal|Rangpur Riders,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,252,226,26,126,126
2025-01-02,Melbourne Renegades|Adelaide Strikers,"Docklands Stadium, Melbourne",Adelaide Strikers,285,276,9,142,143
2025-01-02,Sri Lanka|New Zealand,"Saxton Oval, Nelson",Sri Lanka,429,412,17,214,215
2025-01-03,Ace Capital Cricket Club|Ragama Cricket Club,"Surrey Village, Maggona",Ace Capital Cricket Club,860,815,45,430,430
2025-01-03,Auckland|Canterbury,"Eden Park Outer Oval, Auckland",Auckland,590,564,26,295,295
2025-01-03,Badureliya Sports Club|Panadura Sports Club,Panadura Esplanade,Panadura Sports Club,607,588,19,303,304
2025-01-03,Burgher Recreation Club|Nondescripts Cricket Club,"Nondescripts Cricket Club Ground, Colombo",Nondescripts Cricket Club,763,727,36,381,382
2025-01-03,Chittagong Kings|Durbar Rajshahi,"Shere Bangla National Stadium, Mirpur",Chittagong Kings,333,326,7,166,167
2025-01-03,India|Australia,Sydney Cricket Ground,Australia,685,623,62,342,343
2025-01-03,Khulna Tigers|Dhaka Capital,"Shere Bangla National Stadium, Mirpur",Khulna Tigers,326,303,23,163,163
2025-01-03,Perth Scorchers|Sydney Thunder,Perth Stadium,Sydney Thunder,356,333,23,178,178
2025-01-03,South Africa|Pakistan,"Newlands, Cape Town",South Africa,1345,1271,74,672,673
2025-01-04,Melbourne Renegades|Melbourne Stars,Melbourne Cricket Ground,Melbourne Stars,339,326,13,169,170
2025-01-04,Wellington|Central Districts,"Saxton Oval, Nelson",Wellington,572,549,23,286,286
2025-01-05,Adelaide Strikers|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,373,358,15,186,187
2025-01-05,Sri Lanka|New Zealand,"Basin Reserve, Wellington",New Zealand,358,334,24,179,179
2025-01-06,Central Districts|Northern Districts,"Saxton Oval, Nelson",Central Districts,326,313,13,163,163
2025-01-06,Central Districts|Northern Districts,"Saxton Oval, Nelson",Northern Districts,227,223,4,113,114
2025-01-06,Durbar Rajshahi|Fortune Barishal,Sylhet International Cricket Stadium,Fortune Barishal,337,321,16,168,169
2025-01-06,Sydney Thunder|Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,347,328,19,173,174
2025-01-06,Sylhet Strikers|Rangpur Riders,Sylhet International Cricket Stadium,Rangpur Riders,415,397,18,207,208
2025-01-07,Canterbury|Otago,"Hagley Oval, Christchurch",Otago,339,327,12,169,170
2025-01-07,Dhaka Capital|Rangpur Riders,Sylhet International Cricket Stadium,Rangpur Riders,224,192,32,112,112
2025-01-07,Otago|Canterbury,"Hagley Oval, Christchurch",Otago,285,264,21,142,143
2025-01-07,Perth Scorchers|Melbourne Renegades,Perth Stadium,Melbourne Renegades,297,282,15,148,149
2025-01-07,Sylhet Strikers|Fortune Barishal,Sylhet International Cricket Stadium,Fortune Barishal,251,230,21,125,126
2025-01-08,New Zealand|Sri Lanka,"Seddon Park, Hamilton",New Zealand,397,373,24,198,199
2025-01-09,Central Districts|Wellington,"Basin Reserve, Wellington",Wellington,227,215,12,113,114
2025-01-09,Dhaka Capital|Chittagong Kings,Sylhet International Cricket Stadium,Chittagong Kings,357,336,21,178,179
2025-01-09,Fortune Barishal|Rangpur Riders,Sylhet International Cricket Stadium,Rangpur Riders,399,377,22,199,200
2025-01-09,MI Cape Town|Sunrisers Eastern Cape,"St George's Park, Gqeberha",MI Cape Town,251,242,9,125,126
2025-01-09,Melbourne Stars|Sydney Sixers,Melbourne Cricket Ground,Melbourne Stars,296,283,13,148,148
2025-01-09,Wellington|Central Districts,"Basin Reserve, Wellington",Central Districts,388,364,24,194,194
2025-01-10,Auckland|Canterbury,"Hagley Oval, Christchurch",Canterbury,277,258,19,138,139
2025-01-10,Badureliya Sports Club|Police Sports Club,"Surrey Village, Maggona",Police Sports Club,449,438,11,224,225
2025-01-10,Canterbury|Auckland,"Hagley Oval, Christchurch",Canterbury,305,286,19,152,153
2025-01-10,Dhaka Capital|Sylhet Strikers,Sylhet International Cricket Stadium,Sylhet Strikers,388,371,17,194,194
2025-01-10,Durban's Super Giants|Pretoria Capitals,"Kingsmead, Durban",Durban's Super Giants,416,388,28,208,208
2025-01-10,Durbar Rajshahi|Khulna Tigers,Sylhet International Cricket Stadium,Durbar Rajshahi,328,310,18,164,164
2025-01-10,Ireland|India,"Saurashtra Cricket Association Stadium, Rajkot",India,479,443,36,239,240
2025-01-10,Ragama Cricket Club|Panadura Sports Club,Panadura Esplanade,Panadura Sports Club,612,579,33,306,306
2025-01-10,Sydney Thunder|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,329,311,18,164,165
2025-01-11,Adelaide Strikers|Brisbane Heat,Adelaide Oval,Adelaide Strikers,446,427,19,223,223
2025-01-11,Dubai Capitals|MI Emirates,Dubai International Cricket Stadium,Dubai Capitals,265,254,11,132,133
2025-01-11,MI Cape Town|Joburg Super Kings,"The Wanderers Stadium, Johannesburg",Joburg Super Kings,222,211,11,111,111
2025-01-11,Sri Lanka|New Zealand,"Eden Park, Auckland",Sri Lanka,440,411,29,220,220
2025-01-11,Sunrisers Eastern Cape|Paarl Royals,"Boland Park, Paarl",Paarl Royals,351,347,4,175,176
2025-01-11,Sydney Sixers|Perth Scorchers,Sydney Cricket Ground,Sydney Sixers,426,407,19,213,213
2025-01-12,Abu Dhabi Knight Riders|Desert Vipers,"Zayed Cricket Stadium, Abu Dhabi",Desert Vipers,334,323,11,167,167
2025-01-12,Central Districts|Otago,"Fitzherbert Park, Palmerston North",Otago,449,418,31,224,225
2025-01-12,Dhaka Capital|Durbar Rajshahi,Sylhet International Cricket Stadium,Dhaka Capital,359,340,19,179,180
2025-01-12,England|Australia,"North Sydney Oval, Sydney",Australia,410,360,50,205,205
2025-01-12,Gulf Giants|Sharjah Warriorz,Dubai International Cricket Stadium,Sharjah Warriorz,349,339,10,174,175
2025-01-12,India|Ireland,"Saurashtra Cricket Association Stadium, Rajkot",India,624,578,46,312,312
2025-01-12,Melbourne Stars|Melbourne Renegades,"Docklands Stadium, Melbourne",Melbourne Stars,288,263,25,144,144
2025-01-12,Sylhet Strikers|Khulna Tigers,Sylhet International Cricket Stadium,Sylhet Strikers,356,344,12,178,178
2025-01-13,Auckland|Northern Districts,"Seddon Park, Hamilton",Northern Districts,380,360,20,190,190
2025-01-13,Chittagong Kings|Sylhet Strikers,Sylhet International Cricket Stadium,Chittagong Kings,376,357,19,188,188
2025-01-13,MI Cape Town|Paarl Royals,"Newlands, Cape Town",MI Cape Town,311,301,10,155,156
2025-01-13,MI Emirates|Dubai Capitals,"Zayed Cricket Stadium, Abu Dhabi",MI Emirates,348,337,11,174,174
2025-01-13,Northern Districts|Auckland,"Seddon Park, Hamilton",Northern Districts,291,276,15,145,146
2025-01-13,Rangpur Riders|Khulna Tigers,Sylhet International Cricket Stadium,Rangpur Riders,364,341,23,182,182
2025-01-13,Sydney Thunder|Perth Scorchers,Sydney Showground Stadium,Sydney Thunder,255,242,13,127,128
2025-01-14,Australia|England,"Junction Oval, Melbourne",Australia,339,315,24,169,170
2025-01-14,Gulf Giants|Desert Vipers,Dubai International Cricket Stadium,Desert Vipers,240,226,14,120,120
2025-01-14,Joburg Super Kings|Durban's Super Giants,"Kingsmead, Durban",Joburg Super Kings,310,285,25,155,155
2025-01-14,Melbourne Renegades|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,309,293,16,154,155
2025-01-14,Otago|Wellington,"Basin Reserve, Wellington",Otago,313,289,24,156,157
2025-01-14,Sunrisers Eastern Cape|Pretoria Capitals,"SuperSport Park, Centurion",Pretoria Capitals,228,220,8,114,114
2025-01-14,Wellington|Otago,"Basin Reserve, Wellington",Otago,220,208,12,110,110
2025-01-15,Abu Dhabi Knight Riders|Sharjah Warriorz,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi Knight Riders,288,262,26,144,144
2025-01-15,Adelaide Strikers|Sydney Sixers,Adelaide Oval,Sydney Sixers,365,350,15,182,183
2025-01-15,Auckland|Central Districts,"McLean Park, Napier",Auckland,269,236,33,134,135
2025-01-15,Auckland|Central Districts,"McLean Park, Napier",Central Districts,281,266,15,140,141
2025-01-15,India|Ireland,"Saurashtra Cricket Association Stadium, Rajkot",India,566,519,47,283,283
2025-01-15,MI Cape Town|Paarl Royals,"Boland Park, Paarl",Paarl Royals,317,309,8,158,159
2025-01-16,Brisbane Heat|Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,408,382,26,204,204
2025-01-16,Chittagong Kings|Khulna Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chittagong Kings,355,339,16,177,178
2025-01-16,Dhaka Capital|Fortune Barishal,"Zahur Ahmed Chowdhury Stadium, Chattogram",Fortune Barishal,284,254,30,142,142
2025-01-16,MI Emirates|Desert Vipers,Dubai International Cricket Stadium,Desert Vipers,320,311,9,160,160
2025-01-16,Northern Districts|Otago,"University Oval, Dunedin",Northern Districts,416,397,19,208,208
